seq,p_value,appears_random
0,0.8583141685831417,1
1,0.43075692430756923,1
2,0.951004899510049,1
3,0.0893910608939106,1
4,0.0027997200279972004,0
5,0.2595740425957404,1
6,0.6425357464253575,1
7,0.3598640135986401,1
8,0.5254474552544746,1
9,0.8578142185781422,1
10,0.33696630336966304,1
11,0.15558444155584442,1
12,0.5867413258674132,1
13,0.6808319168083191,1
14,0.6924307569243076,1
15,0.934906509349065,1
16,0.8266173382661733,1
17,0.43855614438556145,1
18,0.6413358664133587,1
19,0.1406859314068593,1
20,0.4393560643935606,1
21,0.0372962703729627,0
22,0.6939306069393061,1
23,0.025297470252974703,0
24,0.66003399660034,1
25,0.8583141685831417,1
26,0.5150484951504849,1
27,0.1546845315468453,1
28,0.5487451254874512,1
29,0.43315668433156684,1
30,0.8834116588341165,1
31,0.799020097990201,1
32,0.5605439456054394,1
33,0.37476252374762525,1
34,0.1673832616738326,1
35,0.9953004699530047,1
36,0.5504449555044496,1
37,0.9881011898810119,1
38,0.9473052694730527,1
39,0.020397960203979604,0
40,0.2632736726327367,1
41,0.7164283571642835,1
42,0.29927007299270075,1
43,0.7004299570042996,1
44,0.7805219478052194,1
45,0.45955404459554045,1
46,0.24387561243875613,1
47,0.1364863513648635,1
48,0.1060893910608939,1
49,0.527947205279472,1
50,0.9908009199080092,1
51,0.5169483051694831,1
52,0.9601039896010399,1
53,0.18888111188881113,1
54,0.6771322867713229,1
55,0.8861113888611138,1
56,0.8264173582641736,1
57,0.9893010698930107,1
58,0.7393260673932607,1
59,0.5471452854714528,1
60,0.6883311668833116,1
61,0.4894510548945106,1
62,0.3167683231676832,1
63,0.6663333666633336,1
64,0.48955104489551043,1
65,0.26117388261173885,1
66,0.5476452354764524,1
67,0.8455154484551545,1
68,0.44075592440755923,1
69,0.7713228677132287,1
70,0.6998300169983002,1
71,0.0357964203579642,0
72,0.0086991300869913,0
73,0.6783321667833216,1
74,0.9032096790320968,1
75,0.6708329167083291,1
76,0.3748625137486251,1
77,0.34436556344365565,1
78,0.39116088391160886,1
79,0.14758524147585242,1
80,0.6544345565443456,1
81,0.07589241075892411,1
82,0.5069493050694931,1
83,0.0912908709129087,1
84,0.031296870312968704,0
85,0.3835616438356164,1
86,0.947005299470053,1
87,0.8051194880511949,1
88,0.5755424457554245,1
89,0.3912608739126087,1
90,0.523947605239476,1
91,0.9774022597740226,1
92,0.853014698530147,1
93,0.855014498550145,1
94,0.8054194580541946,1
95,0.9946005399460054,1
96,0.8709129087091291,1
97,0.0306969303069693,0
98,0.2792720727927207,1
99,0.7464253574642535,1
100,0.29317068293170684,1
101,0.7513248675132487,1
102,0.41555844415558446,1
103,0.011498850114988501,0
104,0.3320667933206679,1
