seq,p_value,appears_random
0,0.637036296370363,1
1,0.23687631236876314,1
2,0.2993700629937006,1
3,0.08049195080491951,1
4,0.6015398460153984,1
5,0.19708029197080293,1
6,0.14278572142785723,1
7,0.6753324667533247,1
8,0.16078392160783922,1
9,0.1337866213378662,1
10,0.5945405459454055,1
11,0.04999500049995,0
12,0.30716928307169283,1
13,0.0254974502549745,0
14,0.3922607739226077,1
15,0.48855114488551143,1
16,0.9856014398560144,1
17,0.23267673232676733,1
18,0.5992400759924008,1
19,0.2957704229577042,1
20,0.5054494550544946,1
21,0.5923407659234077,1
22,0.5378462153784621,1
23,0.3494650534946505,1
24,0.7072292770722928,1
25,0.8436156384361564,1
26,0.06779322067793221,1
27,0.7868213178682132,1
28,0.18768123187681232,1
29,0.47015298470152983,1
30,0.3464653534646535,1
31,0.8632136786321368,1
32,0.9382061793820617,1
33,0.8692130786921308,1
34,0.35436456354364565,1
35,0.49055094490550943,1
36,0.27517248275172485,1
37,0.32766723327667235,1
38,0.9134086591340866,1
39,0.6567343265673433,1
40,0.5591440855914409,1
41,0.0034996500349965005,0
42,0.6558344165583442,1
43,0.1055894410558944,1
44,0.05299470052994701,1
45,0.8851114888511149,1
46,0.5813418658134186,1
47,0.5429457054294571,1
48,0.33466653334666535,1
49,0.41205879412058793,1
50,0.6133386661333866,1
51,0.6398360163983602,1
52,0.6365363463653635,1
53,0.7624237576242375,1
54,0.6220377962203779,1
55,0.515948405159484,1
56,0.9127087291270873,1
57,0.2963703629637036,1
58,0.12398760123987601,1
59,0.4901509849015098,1
60,0.8599140085991401,1
61,0.8536146385361464,1
62,0.33856614338566143,1
63,0.6990300969903009,1
64,0.4076592340765923,1
65,0.284971502849715,1
66,0.014498550144985502,0
67,0.06479352064793521,1
68,0.4834516548345166,1
69,0.9557044295570443,1
70,0.06969303069693031,1
71,0.0633936606339366,1
72,0.25347465253474655,1
73,0.46365363463653636,1
74,0.8371162883711629,1
75,0.31386861313868614,1
76,0.527947205279472,1
77,0.8123187681231877,1
78,0.9946005399460054,1
79,0.9877012298770123,1
80,0.25647435256474355,1
81,0.41055894410558946,1
82,0.09819018098190181,1
83,0.4764523547645235,1
84,0.45065493450654937,1
85,0.04609539046095391,0
86,0.8804119588041196,1
87,0.628937106289371,1
88,0.6201379862013798,1
89,0.7446255374462554,1
90,0.12858714128587143,1
91,0.9422057794220577,1
92,0.895010498950105,1
93,0.6383361663833617,1
94,0.37506249375062495,1
95,0.1620837916208379,1
96,0.7087291270872913,1
97,0.43795620437956206,1
98,0.7171282871712829,1
99,0.8852114788521148,1
100,0.718028197180282,1
101,0.11738826117388261,1
102,0.6175382461753824,1
103,0.25717428257174285,1
104,0.027997200279972004,0
105,0.19008099190080993,1
106,0.547045295470453,1
107,0.39766023397660233,1
108,0.5131486851314868,1
109,0.3117688231176882,1
110,0.1045895410458954,1
111,0.7107289271072893,1
112,0.2880711928807119,1
