seq,p_value,appears_random
0,0.042995700429957005,0
1,0.8162183781621838,1
2,0.9351064893510649,1
3,0.30446955304469553,1
4,0.8296170382961704,1
5,0.7264273572642735,1
6,0.924007599240076,1
7,0.7798220177982201,1
8,0.3321667833216678,1
9,0.20977902209779023,1
10,0.5289471052894711,1
11,0.7998200179982001,1
12,0.9325067493250675,1
13,0.08359164083591641,1
14,0.5998400159984002,1
15,0.5131486851314868,1
16,0.6672332766723328,1
17,0.14578542145785423,1
18,0.7818218178182181,1
19,0.991000899910009,1
20,0.2552744725527447,1
21,0.6821317868213179,1
22,0.702029797020298,1
23,0.28587141285871415,1
24,0.4370562943705629,1
25,0.08609139086091391,1
26,0.5967403259674032,1
27,0.5913408659134086,1
28,0.0524947505249475,1
29,0.5561443855614439,1
30,0.6925307469253075,1
31,0.9139086091390861,1
32,0.9458054194580542,1
33,0.7331266873312668,1
34,0.6671332866713329,1
35,0.3745625437456254,1
36,0.9696030396960303,1
37,0.9021097890210978,1
38,0.9614038596140386,1
39,0.3681631836816318,1
40,0.2536746325367463,1
41,0.0433956604339566,0
42,0.5268473152684732,1
43,0.9051094890510949,1
44,0.43965603439656037,1
45,0.3237676232376762,1
46,0.013898610138986101,0
47,0.9079092090790921,1
48,0.8768123187681232,1
49,0.7757224277572243,1
50,0.7778222177782221,1
51,0.11608839116088392,1
52,0.21477852214778523,1
53,0.7378262173782622,1
54,0.7752224777522247,1
55,0.7128287171282872,1
56,0.547945205479452,1
57,0.8929107089291071,1
58,0.7131286871312869,1
59,0.9085091490850915,1
60,0.418958104189581,1
61,0.04889511048895111,0
62,0.24377562243775622,1
63,0.7287271272872713,1
64,0.12018798120187982,1
65,0.37846215378462156,1
66,0.8417158284171583,1
67,0.9454054594540546,1
68,0.11188881111888811,1
69,0.06869313068693131,1
70,0.40605939406059394,1
71,0.38806119388061194,1
72,0.5208479152084792,1
73,0.41205879412058793,1
74,0.7550244975502449,1
75,0.9674032596740326,1
76,0.23047695230476953,1
77,0.8175182481751825,1
78,0.44985501449855014,1
79,0.9352064793520648,1
80,0.33096690330966905,1
81,0.10108989101089891,1
82,0.9997000299970003,1
83,0.24807519248075194,1
84,0.9677032296770323,1
85,0.048795120487951205,0
86,0.2191780821917808,1
87,0.9183081691830817,1
88,0.668933106689331,1
89,0.20377962203779623,1
90,0.14358564143585642,1
91,0.3330666933306669,1
92,0.589041095890411,1
93,0.026697330266973303,0
94,0.1683831616838316,1
95,0.5403459654034597,1
96,0.47195280471952805,1
97,0.2465753424657534,1
98,0.024397560243975602,0
99,0.6786321367863214,1
100,0.0862913708629137,1
101,0.6573342665733427,1
102,0.6448355164483551,1
103,0.691030896910309,1
104,0.6003399660033997,1
105,0.035896410358964105,0
106,0.5844415558444156,1
107,0.037696230376962306,0
108,0.29187081291870814,1
109,0.7032296770322968,1
110,0.031296870312968704,0
111,0.2528747125287471,1
112,0.9661033896610339,1
113,0.7774222577742226,1
114,0.9231076892310769,1
115,0.1362863713628637,1
116,0.12138786121387861,1
117,0.8116188381161884,1
118,0.5196480351964804,1
119,0.5238476152384761,1
120,0.9721027897210279,1
121,0.37606239376062395,1
122,0.5400459954004599,1
123,0.38686131386861317,1
124,0.15678432156784322,1
125,0.3842615738426157,1
126,0.11638836116388361,1
127,0.33296670332966705,1
128,0.26007399260073993,1
129,0.7624237576242375,1
130,0.813018698130187,1
131,0.9313068693130687,1
132,0.17698230176982302,1
133,0.7503249675032497,1
134,0.4420557944205579,1
135,0.765023497650235,1
136,0.6606339366063394,1
137,0.9794020597940206,1
138,0.5960403959604039,1
139,0.49925007499250074,1
140,0.752024797520248,1
141,0.5572442755724427,1
142,0.6798320167983202,1
143,0.24977502249775022,1
144,0.11448855114488551,1
145,0.969003099690031,1
146,0.04689531046895311,0
147,0.7637236276372362,1
148,0.6304369563043696,1
149,0.6907309269073093,1
150,0.49275072492750727,1
151,0.8424157584241576,1
152,0.40985901409859016,1
153,0.41575842415758424,1
154,0.21677832216778323,1
155,0.0183981601839816,0
156,0.8877112288771123,1
157,0.7938206179382061,1
158,0.1623837616238376,1
159,0.5917408259174083,1
160,0.16778322167783222,1
161,0.22747725227477253,1
162,0.06269373062693731,1
163,0.14998500149985,1
164,0.40455954404559547,1
165,0.3224677532246775,1
166,0.8315168483151685,1
167,0.8446155384461553,1
168,0.9346065393460654,1
169,0.7106289371062894,1
170,0.5778422157784222,1
171,0.14978502149785022,1
172,0.3444655534446555,1
173,0.0103989601039896,0
174,0.6786321367863214,1
175,0.29647035296470353,1
176,0.940905909409059,1
177,0.38986101389861016,1
178,0.5634436556344365,1
179,0.9694030596940306,1
180,0.8817118288171183,1
181,0.16198380161983802,1
182,0.5216478352164784,1
183,0.43575642435756423,1
184,0.8331166883311669,1
185,0.9998000199980002,1
186,0.05089491050894911,1
187,0.010498950104989501,0
188,0.18338166183381663,1
189,0.8233176682331766,1
190,0.5981401859814018,1
191,0.9105089491050895,1
192,0.20487951204879512,1
193,0.9546045395460454,1
194,0.29887011298870114,1
195,0.7658234176582341,1
