seq,p_value,appears_random
0,0.022897710228977103,0
1,0.5027497250274973,1
2,0.43785621437856215,1
3,0.5025497450254974,1
4,0.6446355364463554,1
5,0.20877912208779123,1
6,0.8005199480051994,1
7,0.7048295170482952,1
8,0.3595640435956404,1
9,0.3010698930106989,1
10,0.8640135986401359,1
11,0.21537846215378462,1
12,0.7569243075692431,1
13,0.4570542945705429,1
14,0.5723427657234277,1
15,0.833016698330167,1
16,0.9518048195180482,1
17,0.5533446655334466,1
18,0.7701229877012299,1
19,0.1367863213678632,1
20,0.9882011798820118,1
21,0.31686831316868314,1
22,0.22247775222477753,1
23,0.051094890510948905,1
24,0.38076192380761925,1
25,0.7416258374162584,1
26,0.894010598940106,1
27,0.1952804719528047,1
28,0.5193480651934806,1
29,0.6367363263673632,1
30,0.30586941305869414,1
31,0.5968403159684031,1
32,0.053594640535946404,1
33,0.6287371262873712,1
34,0.7264273572642735,1
35,0.274972502749725,1
36,0.36146385361463856,1
37,0.8739126087391261,1
38,0.8972102789721028,1
39,0.36536346365363465,1
40,0.9036096390360964,1
41,0.7407259274072593,1
42,0.022397760223977603,0
43,0.632936706329367,1
44,0.5043495650434956,1
45,0.8449155084491551,1
46,0.7814218578142186,1
47,0.10138986101389862,1
48,0.9582041795820418,1
49,0.778022197780222,1
50,0.8204179582041796,1
51,0.08509149085091491,1
52,0.31526847315268475,1
53,0.07549245075492451,1
54,0.7381261873812619,1
55,0.6754324567543246,1
56,0.48255174482551744,1
57,0.5288471152884712,1
58,0.5266473352664733,1
59,0.24217578242175783,1
60,0.16668333166683333,1
61,0.23967603239676033,1
62,0.8109189081091891,1
63,0.6374362563743625,1
64,0.742025797420258,1
65,0.09249075092490751,1
66,0.019598040195980403,0
67,0.8163183681631837,1
68,0.9577042295770423,1
69,0.19238076192380762,1
70,0.16008399160083991,1
71,0.7617238276172382,1
72,0.2937706229377062,1
73,0.6654334566543346,1
74,0.5821417858214178,1
75,0.692930706929307,1
76,0.3388661133886611,1
77,0.9943005699430058,1
78,0.5952404759524048,1
79,0.9843015698430156,1
80,0.1105889411058894,1
81,0.7101289871012899,1
82,0.29887011298870114,1
83,0.13538646135386462,1
84,0.2445755424457554,1
85,0.6321367863213678,1
86,0.17798220177982202,1
87,0.18808119188081193,1
88,0.025397460253974602,0
89,0.8591140885911409,1
90,0.41175882411758824,1
91,0.23097690230976903,1
92,0.142985701429857,1
93,0.47025297470252975,1
94,0.5848415158484151,1
95,0.6964303569643036,1
96,0.34596540345965404,1
97,0.26947305269473054,1
98,0.7416258374162584,1
99,0.14408559144085592,1
100,0.286971302869713,1
101,0.19198080191980801,1
102,0.26077392260773924,1
103,0.32086791320867913,1
104,0.5712428757124287,1
105,0.6077392260773923,1
106,0.6919308069193081,1
107,0.5845415458454155,1
108,0.1523847615238476,1
109,0.9067093290670933,1
110,0.8051194880511949,1
111,0.4824517548245176,1
112,0.3601639836016398,1
113,0.22567743225677434,1
114,0.06459354064593541,1
115,0.9383061693830617,1
116,0.13008699130086993,1
117,0.6020397960203979,1
118,0.9231076892310769,1
119,0.47855214478552144,1
120,0.0235976402359764,0
121,0.21137886211378862,1
122,0.6424357564243576,1
123,0.11838816118388161,1
124,0.7159284071592841,1
125,0.2947705229477052,1
126,0.5883411658834117,1
127,0.2990700929907009,1
128,0.6472352764723528,1
129,0.44465553444655537,1
130,0.20777922207779223,1
131,0.21737826217378262,1
132,0.0872912708729127,1
133,0.1802819718028197,1
134,0.9689031096890312,1
135,0.38936106389361064,1
136,0.3722627737226277,1
137,0.8878112188781122,1
138,0.1802819718028197,1
139,0.31256874312568744,1
